id,price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,listdate
76,180000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021-07-18 00:00:00
77,250000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,2021-07-18 00:00:00
79,450000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,2021-07-18 00:00:00
80,400000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Karen,2021-07-18 00:00:00
81,380000.0,4,6,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,2021-07-18 00:00:00
82,180000.0,4,4,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
84,120000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
85,110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
86,400000.0,4,4,0.0,0,0,0,0,For Rent,House,Townhouse,Kiambu,Kabete,2021-07-18 00:00:00
87,130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,2021-07-18 00:00:00
88,90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
89,120000.0,3,4,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021-07-18 00:00:00
90,200000.0,2,2,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Nairobi Central,2021-07-18 00:00:00
91,140000.0,3,3,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kileleshwa,2021-07-18 00:00:00
92,380000.0,4,4,0.0,0,0,0,0,For Rent,House,Missing,Kiambu,Kabete,2021-07-18 00:00:00
93,310000.0,3,3,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,2021-07-18 00:00:00
94,130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
95,350000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021-07-18 00:00:00
96,350000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,2021-07-18 00:00:00
97,170000.0,3,3,3.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kilimani,2021-07-18 00:00:00
98,220000.0,4,4,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kilimani,2021-07-18 00:00:00
99,200000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,2021-07-18 00:00:00
100,90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
102,180000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
103,130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021-07-18 00:00:00
105,300000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Nairobi Central,2021-07-18 00:00:00
158,100000.0,3,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
163,110000.0,4,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021-07-18 00:00:00
164,500000.0,5,4,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021-07-18 00:00:00
165,80000.0,4,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021-07-18 00:00:00
166,120000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
167,100000.0,3,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021-07-18 00:00:00
168,14409.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Kajiado,Kitengela,2021-07-18 00:00:00
169,27000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Kajiado,Kitengela,2021-07-18 00:00:00
196,400000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-18 00:00:00
200,150000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021-07-18 00:00:00
202,130000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021-07-18 00:00:00
208,90000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021-07-18 00:00:00
212,350000.0,3,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-18 00:00:00
219,130000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021-07-18 00:00:00
221,250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-18 00:00:00
224,350000.0,6,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-18 00:00:00
225,250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kitisuru,2021-07-18 00:00:00
227,600000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,2021-07-18 00:00:00
233,210000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-18 00:00:00
235,80000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Mugumo-Ini (Langata),2021-07-18 00:00:00
251,390000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
252,350000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Westlands,2021-07-19 00:00:00
253,30000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Karen,2021-07-19 00:00:00
254,250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
255,270000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
256,200000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
257,300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
258,250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
259,320000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
260,250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
261,120000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021-07-19 00:00:00
262,150000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021-07-19 00:00:00
263,260000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021-07-19 00:00:00
