price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,list_year,list_month
90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
120000.0,3,4,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
200000.0,2,2,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Nairobi Central,2021,7
140000.0,3,3,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kileleshwa,2021,7
380000.0,4,4,0.0,0,0,0,0,For Rent,House,Missing,Kiambu,Kabete,2021,7
310000.0,3,3,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,2021,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
350000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021,7
350000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,2021,7
170000.0,3,3,3.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kilimani,2021,7
220000.0,4,4,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kilimani,2021,7
200000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,2021,7
90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
180000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
300000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Nairobi Central,2021,7
100000.0,3,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
110000.0,4,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,2021,7
500000.0,5,4,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
80000.0,4,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
120000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
100000.0,3,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
14409.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Kajiado,Kitengela,2021,7
27000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Kajiado,Kitengela,2021,7
400000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
150000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
130000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
90000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
350000.0,3,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
130000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,2021,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
350000.0,6,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,2021,7
